name,party,state,1,4,5,6,7,8,9,10,20,26,32,38,39,44,47
Alexander,R,TN,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0
Ayotte,R,NH,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
Baldwin,D,WI,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Barrasso,R,WY,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Bennet,D,CO,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0
Blumenthal,D,CT,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Blunt,R,MO,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Booker,D,NJ,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Boozman,R,AR,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Boxer,D,CA,0.5,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Brown,D,OH,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Burr,R,NC,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0
Cantwell,D,WA,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Capito,R,WV,0.5,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Cardin,D,MD,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Carper,D,DE,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1
Casey,D,PA,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1
Cassidy,R,LA,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Coats,R,IN,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Cochran,R,MS,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Collins,R,ME,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
Coons,D,DE,1,0,0,1,0,1,0,1,0,0.5,1,1,0,1,1
Corker,R,TN,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Cornyn,R,TX,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Cotton,R,AR,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Crapo,R,ID,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Cruz,R,TX,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0
Daines,R,MT,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Donnelly,D,IN,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
Durbin,D,IL,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Perdue,R,GA,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Peters,D,MI,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Portman,R,OH,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Reed,D,RI,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Reid,D,NV,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Risch,R,ID,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Roberts,R,KS,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Rounds,R,SD,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Rubio,R,FL,0,1,1,1,1,0,1,1,1,1,0.5,0.5,0.5,0.5,0.5
Sanders,I,VT,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Sasse,R,NE,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0
Schatz,D,HI,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Schumer,D,NY,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Scott,R,SC,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Sessions,R,AL,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Shaheen,D,NH,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Shelby,R,AL,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Stabenow,D,MI,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Sullivan,R,AK,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Tester,D,MT,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
Thune,R,SD,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Tillis,R,NC,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Toomey,R,PA,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Udall,D,NM,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Vitter,R,LA,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Warner,D,VA,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
Warren,D,MA,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Whitehouse,D,RI,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Wicker,R,MS,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0
Wyden,D,OR,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Heitkamp,D,ND,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0
Manchin,D,WV,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0
Reid,D,NV,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
