         gpa         gre  		 admit
0   3.177277  594.102992             0
1   3.412655  631.528607             0
2   2.728097  553.714399             0
3   3.093559  551.089985             0
4   3.141923  537.184894             0
5   3.599108  442.763567             0
6   3.238972  667.472189             0
7   3.420177  561.713905             0
8   3.562482  590.340371             0
9   3.910495  463.470183             0
10  3.264341  636.453166             0
11  3.308623  604.405558             0
12  3.018922  567.714830             0
13  3.151834  503.307298             0
14  3.298133  628.178205             0
15  2.652201  644.300261             0
16  3.115603  533.479810             0
17  3.105242  562.939715             0
18  3.212380  545.878970             0
19  3.010654  537.029102             0
20  3.520870  534.127500             0
21  2.907485  532.514699             0
22  3.014995  472.636769             0
23  3.400368  693.314506             0
24  2.848408  390.363563             0
25  3.443319  629.367403             0
26  3.242584  648.493892             0
27  3.122304  714.245338             0
28  2.621257  622.092646             0
29  2.782772  585.699533             0
30  2.705202  580.691540             0
31  2.957306  620.739871             0
32  3.403424  599.537623             0
33  3.354183  604.588590             0
34  2.792632  578.129224             0
35  3.393302  614.052755             0
36  3.531761  478.948891             0
37  3.660035  572.104295             0
38  3.312290  575.797036             0
39  2.941453  632.751503             0
40  3.197953  509.820650             0
41  3.080794  567.644024             0
42  3.317480  508.360911             0
43  3.561178  547.843930             0
44  3.040222  641.412231             0
45  3.093928  643.814782             0
46  3.088540  593.105304             0
47  2.830828  475.697682             0
48  3.205333  566.913704             0
49  2.695294  675.990887             0
50  3.179027  518.262884             0
51  3.231029  581.471839             0
52  2.737658  687.348580             0
53  2.929494  580.285893             0
54  3.480262  497.196442             0
55  3.668731  521.067909             0
56  2.824548  548.955966             0
57  3.434117  547.904473             0
58  3.037244  538.850119             0
59  2.953116  590.745298             0
60  3.471191  603.041169             0
61  3.049961  602.001883             0
62  2.697763  536.378646             0
63  3.455818  546.030157             0
64  3.742056  618.428223             0
65  3.481769  619.293122             0
66  3.027542  595.457519             0
67  2.811849  502.334898             0
68  3.542400  548.166126             0
69  2.961642  641.397957             0
70  3.540527  484.058615             0
71  3.691417  496.273937             0
72  3.116568  650.321216             0
73  2.755856  693.451548             0
74  3.749812  541.426663             0
75  3.374212  635.903337             0
76  3.073759  653.992282             0
77  3.737270  536.243861             0
78  3.235723  455.925155             0
79  2.804511  673.406296             0
80  3.278169  633.001482             0
81  2.829533  538.092052             0
82  3.230802  628.416110             0
83  3.449042  620.180935             0
84  2.698461  581.686027             0
85  3.336941  489.931757             0
86  2.822865  589.614818             0
87  3.059940  477.230992             0
88  3.265315  532.564575             0
89  3.036726  562.163269             0
90  3.498628  632.133663             0
91  3.519354  502.685394             0
92  2.771824  549.111663             0
93  3.310185  505.381002             0
94  3.305590  578.627737             0
95  3.095237  499.983145             0
96  3.168852  632.201092             0
97  3.629889  559.226511             0
98  3.329991  663.436867             0
99  2.916654  661.170680             0
100  3.234566  656.907001             0
101  2.177100  623.303559             0
102  3.405693  673.922493             0
103  3.691393  540.130467             0
104  3.102267  680.163115             0
105  2.794489  697.785737             0
106  3.465695  578.830098             0
107  3.231726  588.152933             0
108  3.343907  627.396574             0
109  3.285823  528.973583             0
110  2.913136  630.909879             0
111  3.011533  578.212886             0
112  3.343741  494.847425             0
113  3.297389  634.805427             0
114  2.988720  603.901588             0
115  3.337510  569.982835             0
116  3.220292  680.028661             0
117  3.219669  483.761856             0
118  3.276203  627.441059             0
119  3.283399  544.426479             0
120  2.786719  564.384927             0
121  2.799225  654.216375             0
122  3.085012  594.876306             0
123  3.119102  548.824829             0
124  3.385732  582.535366             0
125  3.122795  649.299034             0
126  3.430906  419.750194             0
127  2.974989  623.397558             0
128  3.467073  604.016912             0
129  3.444416  473.504579             0
130  2.968178  541.730605             0
131  2.904997  607.113067             0
132  3.018096  501.588105             0
133  3.474318  661.969399             0
134  2.902249  667.738538             0
135  3.019333  557.245992             0
136  3.136414  594.983239             0
137  3.284219  744.157666             0
138  3.788717  531.105701             0
139  3.123864  610.015117             0
140  3.250496  596.057868             0
141  3.170516  554.415250             0
142  3.497400  696.870625             0
143  3.485599  623.116008             0
144  2.687906  540.035697             0
145  2.804895  544.943178             0
146  3.445072  577.154385             0
147  3.083064  578.246461             0
148  3.000161  533.211280             0
149  2.873149  649.539246             0
150  3.058432  705.901460             0
151  3.052047  635.292374             0
152  2.835886  734.272807             0
153  3.024913  586.947973             0
154  2.867291  600.364710             0
155  3.041057  680.420013             0
156  3.486988  473.207220             0
157  3.145549  451.139210             0
158  3.068724  714.981934             0
159  3.493951  687.432505             0
160  3.380544  490.083377             0
161  3.218202  684.068073             0
162  3.493462  476.273225             0
163  3.458794  573.097758             0
164  3.438709  548.339497             0
165  3.320750  716.173275             0
166  3.688981  644.864045             0
167  2.923581  622.524665             0
168  2.910620  619.392763             0
169  3.309876  518.257322             0
170  3.090762  609.377330             0
171  3.331254  539.342994             0
172  3.207277  556.465698             0
173  2.932147  564.798764             0
174  3.120778  593.747164             0
175  3.266024  574.156664             0
176  3.337680  540.445177             0
177  3.078253  528.551461             0
178  3.073865  483.030549             0
179  3.044987  564.255010             0
180  3.000827  579.834502             0
181  3.333380  513.555159             0
182  3.124173  566.266855             0
183  3.340564  612.263931             0
184  3.345809  607.419152             0
185  3.084969  642.561275             0
186  3.630973  554.415177             0
187  2.929009  612.312293             0
188  3.229678  563.682408             0
189  3.470677  551.874029             0
190  3.008434  438.537099             0
191  3.604055  553.272355             0
192  3.222918  557.419838             0
193  2.615362  548.965913             0
194  3.156370  652.341874             0
195  3.229056  568.576942             0
196  3.067959  540.056983             0
197  3.630557  540.813592             0
198  3.068445  597.544122             0
199  2.969204  648.303999             0
200  3.055598  686.667456             0
201  3.619504  463.774416             0
202  3.269049  614.237700             0
203  3.419984  497.657334             0
204  3.278014  612.646991             0
205  2.923772  672.785504             0
206  2.690019  640.154030             0
207  2.973904  561.087115             0
208  3.733697  524.504412             0
209  2.660526  611.935335             0
210  2.965011  693.397581             0
211  2.854747  532.298894             0
212  2.973886  646.922843             0
213  3.202666  576.551696             0
214  3.247795  518.556697             0
215  3.259123  614.700447             0
216  2.625307  582.835228             0
217  3.230624  546.274048             0
218  3.048872  473.778871             0
219  3.252544  678.615733             0
220  3.134656  675.286393             0
221  3.699875  493.920277             0
222  3.310074  471.581791             0
223  3.364396  624.524777             0
224  3.704223  514.045039             0
225  2.844566  703.043462             0
226  3.767447  565.906440             0
227  2.803930  561.591418             0
228  2.762243  572.187529             0
229  3.419234  547.609655             0
230  3.119762  558.010044             0
231  3.122052  571.955513             0
232  2.941825  598.214415             0
233  3.256223  542.845896             0
234  2.885002  510.426077             0
235  2.943825  535.580440             0
236  3.309465  538.928244             0
237  3.237353  643.485972             0
238  3.672263  643.989328             0
239  3.279092  636.202022             0
240  3.134272  572.108138             0
241  3.204655  638.971047             0
242  2.671251  560.458376             0
243  3.417615  656.628737             0
244  3.457738  702.344611             0
245  3.047945  631.940527             0
246  3.895526  647.839594             0
247  3.150400  514.180474             0
248  2.993313  494.688082             0
249  3.467048  571.414645             0
250  3.493100  540.809834             0
251  3.154255  416.192901             0
252  3.088198  695.089819             0
253  3.248228  620.370008             0
254  3.108220  617.103330             0
255  3.121694  531.391042             0
256  2.674040  599.895858             0
257  3.194040  593.005897             0
258  3.020869  627.673435             0
259  3.071072  548.374556             0
260  3.414036  577.665610             0
261  3.266654  612.612152             0
262  3.232388  533.307638             0
263  3.103706  634.104699             0
264  3.150268  444.223279             0
265  3.431849  561.588027             0
266  2.782338  558.012494             0
267  3.322520  583.861409             0
268  3.164031  598.900195             0
269  2.859058  485.142735             0
270  3.040767  749.832685             0
271  3.141668  508.969336             0
272  3.495587  658.965386             0
273  3.473826  584.491877             0
274  3.226954  450.288663             0
275  3.268196  691.260976             0
276  3.217732  672.613243             0
277  3.201273  478.432871             0
278  3.540320  555.027864             0
279  3.085859  503.932903             0
280  3.534691  467.459733             0
281  3.053863  729.928654             0
282  3.054115  546.787904             0
283  2.931774  602.766100             0
284  3.123534  601.712258             0
285  3.110348  689.990853             0
286  2.712046  552.958121             0
287  3.179448  565.950932             0
288  2.892133  573.380010             0
289  2.418143  573.553498             0
290  2.987973  651.673570             0
