mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin
18,8,307,130,3504,12,70,1
15,8,350,165,3693,11.5,70,1
18,8,318,150,3436,11,70,1
16,8,304,150,3433,12,70,1
17,8,302,140,3449,10.5,70,1
15,8,429,198,4341,10,70,1
14,8,454,220,4354,9,70,1
14,8,440,215,4312,8.5,70,1
14,8,455,225,4425,10,70,1
15,8,390,190,3850,8.5,70,1
15,8,383,170,3563,10,70,1
14,8,340,160,3609,8,70,1
15,8,400,150,3761,9.5,70,1
14,8,455,225,3086,10,70,1
24,4,113,95,2372,15,70,3
22,6,198,95,2833,15.5,70,1
18,6,199,97,2774,15.5,70,1
21,6,200,85,2587,16,70,1
27,4,97,88,2130,14.5,70,3
26,4,97,46,1835,20.5,70,2
25,4,110,87,2672,17.5,70,2
24,4,107,90,2430,14.5,70,2
25,4,104,95,2375,17.5,70,2
26,4,121,113,2234,12.5,70,2
21,6,199,90,2648,15,70,1
10,8,360,215,4615,14,70,1
10,8,307,200,4376,15,70,1
11,8,318,210,4382,13.5,70,1
9,8,304,193,4732,18.5,70,1
27,4,97,88,2130,14.5,71,3
28,4,112,88,2605,19.6,82,1
27,4,112,88,2640,18.6,82,1
34,4,112,88,2395,18,82,1
31,4,112,85,2575,16.2,82,1
29,4,135,84,2525,16,82,1
27,4,151,90,2735,18,82,1
24,4,140,92,2865,16.4,82,1
36,4,105,74,1980,15.3,82,2
37,4,91,68,2025,18.2,82,3
31,4,91,68,1970,17.6,82,3
38,4,105,63,2125,14.7,82,1
36,4,98,70,2125,17.3,82,1
36,4,120,88,2160,14.5,82,3
36,4,107,75,2205,14.5,82,3
34,4,108,70,2245,16.9,82,3
38,4,91,67,1965,15,82,3
32,4,91,67,1965,15.7,82,3
38,4,91,67,1995,16.2,82,3
25,6,181,110,2945,16.4,82,1
38,6,262,85,3015,17,82,1
26,4,156,92,2585,14.5,82,1
22,6,232,112,2835,14.7,82,1
32,4,144,96,2665,13.9,82,3
36,4,135,84,2370,13,82,1
27,4,151,90,2950,17.3,82,1
27,4,140,86,2790,15.6,82,1
44,4,97,52,2130,24.6,82,2
32,4,135,84,2295,11.6,82,1
28,4,120,79,2625,18.6,82,1
31,4,119,82,2720,19.4,82,1
