id,county,pop_over_25,median_income,median_income_no_hs,median_income_hs,median_income_some_college,median_income_college,median_income_graduate_degree
1001,"Autauga County, Alabama",35696,34581,17946,30157,33225,53248,68125
1003,"Baldwin County, Alabama",130063,31352,17474,25242,30922,46017,55933
1005,"Barbour County, Alabama",18988,25182,20692,21325,24090,41888,50245
1007,"Bibb County, Alabama",15340,27638,22274,28980,22387,30284,42236
1009,"Blount County, Alabama",38846,32808,24870,27541,34660,48681,53664
1011,"Bullock County, Alabama",7510,23818,17307,25800,32250,42759,19656
1013,"Butler County, Alabama",14080,26606,18212,24042,26417,41205,53350
1015,"Calhoun County, Alabama",78545,29402,16627,25789,30623,42051,49854
1017,"Chambers County, Alabama",23756,27631,21073,22806,29004,48028,56098
1019,"Cherokee County, Alabama",18777,30386,20159,26819,32229,43098,55065
1021,"Chilton County, Alabama",29302,32362,26627,30089,33720,44752,52409
1023,"Choctaw County, Alabama",9603,27801,19798,30226,23428,41505,44083
1025,"Clarke County, Alabama",17239,29976,18847,25248,33441,43977,50617
1027,"Clay County, Alabama",9631,28402,21742,26406,27558,35000,48289
1029,"Cleburne County, Alabama",10215,30254,24233,25868,33774,52556,55658
1031,"Coffee County, Alabama",34017,30970,18780,24149,31540,44795,58097
1033,"Colbert County, Alabama",37893,30647,17717,26064,30383,46724,58864
1035,"Conecuh County, Alabama",8959,23679,19028,22414,19548,50547,57716
1037,"Coosa County, Alabama",8136,26089,17500,24231,30024,36250,65536
1039,"Covington County, Alabama",26292,26501,17500,23818,27364,40294,54050
1041,"Crenshaw County, Alabama",9536,29232,22000,26793,30575,41563,39605
1043,"Cullman County, Alabama",55151,30185,18536,27327,31243,41186,54355
1045,"Dale County, Alabama",33127,30760,18258,23790,33353,46588,50938
1047,"Dallas County, Alabama",27847,25387,16968,21668,25870,31136,52159
1049,"DeKalb County, Alabama",46996,26499,18782,25957,28895,40636,50353
1051,"Elmore County, Alabama",53571,35644,20328,29326,32593,50918,53386
1053,"Escambia County, Alabama",26202,27139,15712,23497,29371,34357,55377
1055,"Etowah County, Alabama",71477,28766,19885,23846,28870,42280,53036
1057,"Fayette County, Alabama",11974,26585,14750,28825,22438,42188,40179
1059,"Franklin County, Alabama",21058,27468,20883,26830,31172,41383,53111
