     distance  accuracy
0    0.314379 -0.707727
1    1.693777 -1.586669
2   -0.059695 -0.176699
3   -0.574047  0.372640
4    1.343083 -1.934584
5    1.471671 -2.245876
6    1.553499 -0.927463
7   -0.948121  1.929100
8    0.022134  0.775488
9   -0.340251  0.702243
10   1.062527 -0.616171
11  -0.503908 -0.726038
12  -0.422079  1.617808
13   0.513106 -0.231633
14  -0.585737  0.574064
15   0.033823 -0.451369
16  -0.983191  0.720554
17   0.478036  0.262772
18   0.267620 -0.964085
19   0.255930 -0.304878
20   1.308013 -1.275377
21  -0.796154 -0.524614
22   0.852110 -1.073953
23  -0.012936 -0.286567
24  -0.574047 -1.348622
25  -1.158538  1.672742
26  -2.000204  1.526251
27  -0.281802  0.482507
28   3.213453 -1.495113
29  -0.667566  0.775488
30  0.665073 -0.945774
31 -0.188283 -0.634482
32 -0.235042 -0.945774
33  0.267620  0.427573
34 -1.181917 -0.799283
35  0.700143 -1.202132
36  1.576879  0.372640
37  1.541809  0.006414
38 -0.024626  0.720554
39 -0.679255  1.691053
40 -1.193607 -0.048520
41 -0.994880  0.574064
42 -0.024626  0.555753
43 -0.784464 -0.195011
44  0.022134 -1.128887
45 -3.063978  1.068469
46 -1.754718  1.105091
47  0.431277  0.354328
48  0.770282 -1.934584
49 -0.246732 -2.630413
50  0.033823 -0.414746
51 -0.632496  0.409262
52  1.600258 -0.945774
53 -1.333885 -0.304878
54 -0.702635  0.867045
55 -1.415714 -0.396435
56  2.582203 -1.879650
57  0.010444 -1.275377
58  0.466346 -1.183821
59 -0.410390  0.299394
60  1.401532 -1.073953
61 -0.574047 -0.616171
62 -1.883306  1.581185
63  0.524796 -0.945774
64  0.863800 -0.726038
65 -1.485853  1.031846
66 -1.637820  0.976912
67  1.436601 -0.597859
68 -0.901362  1.947411
69  0.267620  0.482507
70 -0.468839 -0.652793
71  2.652342 -2.007829
72  0.478036  0.409262
73 -0.398700 -0.030209
74  0.863800 -1.806405
75  1.284633 -1.513424
76  1.144356 -0.542925
77  1.413221  0.793799
78 -0.375320  1.160025
79 -0.141524  1.654430
80 -0.199973  0.647309
81  1.167735 -1.659914
82 -1.766408 -0.249945
83 -1.240366  0.519130
84 -0.001246 -0.451369
85 -0.842913  1.105091
86 -0.889672  0.061347
87  0.910559 -1.934584
88 -1.544302  0.995224
89 -0.129834  1.782609
90   0.010444  0.336017
91   0.454657  0.464196
92  -1.006570  1.105091
93   1.331393  0.336017
94   0.290999  1.050158
95   0.150721  0.830422
96   0.139032  0.885356
97  -0.515598 -0.433058
98   0.653383 -0.909151
99  -0.270112  0.720554
100 -0.410390  0.427573
101 -0.726015  0.793799
102 -0.176593 -0.359812
103 -0.316871 -0.195011
104 -0.328561  0.867045
105  0.980698 -0.249945
106 -0.550667  1.544563
107 -0.784464  0.812111
108  0.419587 -0.249945
109  0.606624 -0.213322
110  0.396208 -0.268256
111 -0.223353 -0.176699
112 -0.433769 -0.085143
113  1.261254 -0.341501
114 -0.293491  0.354328
115 -0.176593 -0.597859
116 -0.527288  0.372640
117  0.209171 -0.927463
118 -0.351941  1.343138
119  1.050837 -0.195011
120  0.969008  0.281083
121  0.887180 -0.103454
122  0.735212 -1.623292
123 -1.474163  0.390951
124 -0.094765  1.123403
125  0.407897  0.189527
126 -0.328561 -0.158388
127 -0.457149 -0.707727
128  0.910559  0.647309
129  0.489726 -0.121765
130 -1.485853  1.636119
131  1.787295 -0.396435
132 -1.813167  3.119334
133 -1.485853  2.112213
134  1.015768 -0.726038
135 -0.164904 -0.835906
136  0.770282 -0.011898
137 -0.410390  0.574064
138  1.354772 -0.176699
139 -1.427403  1.398072
140 -1.684579  1.379761
141 -0.702635  0.464196
142  0.945629 -1.476802
143 -0.059695 -1.202132
144  0.010444  0.647309
145  1.062527 -1.769782
146 -0.632496  0.152904
147  0.478036  0.409262
148 -0.702635  1.837543
149  2.734170 -1.312000
150 -1.053329  0.244460
151  0.045513  0.427573
152 -1.275436  1.599496
153  0.513106 -0.249945
154 -0.141524  1.196648
155  0.594934  0.427573
156  0.770282 -0.085143
157 -1.053329 -0.689416
158 -0.527288  1.068469
159 -0.410390  0.482507
160 -1.053329  1.874166
161  0.407897 -0.542925
162  0.817041 -0.726038
163 -1.555991  1.306516
164 -1.591061 -1.147198
165 -0.445459 -0.121765
166 -1.743028  0.647309
167  1.822365 -0.927463
168 -0.655876  1.288204
169 -0.667566 -0.433058
170 -0.071385 -0.634482
171  0.688453  0.079659
172 -0.468839 -1.293689
173  1.085907 -1.476802
174  0.384518 -0.945774
175  1.798985 -0.964085
176  0.606624 -0.414746
177 -0.761084  0.299394
178  0.630004 -0.414746
179 -0.422079  0.574064
180 -0.913052  0.610686
181  0.618314  0.372640
182 -0.422079  0.647309
183 -0.655876  0.207838
184 -0.819533  0.116281
185  0.010444  0.006414
186  0.010444  0.006414
187  1.249564 -0.707727
188  1.401532 -1.824716
189  0.431277 -0.158388
190  0.887180 -0.359812
191  0.045513 -0.176699
192  1.191115 -0.707727
193 -0.188283 -0.140077
194 -0.270112  0.519130
195 -0.083075  0.006414
196 -1.462473  1.892477
